Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Amritanagar SO-Daksevak-OBC",30594218,"Daksevak",,"Amritanagar SO","Coimbatore Division"
2,"Coimbatore HO-Daksevak-UR",30376804,"Daksevak",,"Coimbatore HO","Coimbatore Division"
3,"Dhaliyur BO-BPM-UR",30376924,"BPM",,"Dhaliyur BO","Coimbatore Division"
4,"Elur BO-ABPM-UR",30376864,"ABPM",,"Elur BO","Coimbatore Division"
5,"Ganapathy SO-Daksevak-OBC",30376830,"Daksevak",,"Ganapathy SO","Coimbatore Division"
6,"Gudalurcoimbatore BO-BPM-OBC",30376802,"BPM",,"Gudalurcoimbatore BO","Coimbatore Division"
7,"Ishana Vihar BO-ABPM-UR",30376956,"ABPM",,"Ishana Vihar BO","Coimbatore Division"
8,"Keeranatham BO-ABPM-UR",30596466,"ABPM",,"Keeranatham BO","Coimbatore Division"
9,"Keeranatham BO-ABPM-UR",30596465,"ABPM",,"Keeranatham BO","Coimbatore Division"
10,"Kumittipathi BO-ABPM-OBC",30376762,"ABPM",,"Kumittipathi BO","Coimbatore Division"
11,"Kunnathurpudur BO-ABPM-UR",30376751,"ABPM",,"Kunnathurpudur BO","Coimbatore Division"
12,"Madukkarai SO-Daksevak-OBC",30376852,"Daksevak",,"Madukkarai SO","Coimbatore Division"
13,"Masthigoundenpathi BO-BPM-OBC",30596352,"BPM",,"Masthigoundenpathi BO","Coimbatore Division"
14,"Meenakshipuram BO-ABPM-UR",30376880,"ABPM",,"Meenakshipuram BO","Coimbatore Division"
15,"Myleripalayam BO-ABPM-UR",30596461,"ABPM",,"Myleripalayam BO","Coimbatore Division"
16,"Naickenpalayam BO-ABPM-UR",30376982,"ABPM",,"Naickenpalayam BO","Coimbatore Division"
17,"Othakkalmandapam SO-Daksevak-UR",70079094,"Daksevak",,"Othakkalmandapam SO","Coimbatore Division"
18,"Perur SO Coimbatore-Daksevak-UR",30376923,"Daksevak",,"Perur SO Coimbatore","Coimbatore Division"
19,"Pichanur BO-ABPM-UR",30376848,"ABPM",,"Pichanur BO","Coimbatore Division"
20,"Saravanampatti SO-Daksevak-OBC",30376822,"Daksevak",,"Saravanampatti SO","Coimbatore Division"
21,"Sugunapuram BO-BPM-OBC",30376793,"BPM",,"Sugunapuram BO","Coimbatore Division"
22,"Thirumalayampalayam BO-ABPM-OBC",30376878,"ABPM",,"Thirumalayampalayam BO","Coimbatore Division"
23,"Thoppampatti BO-BPM-UR",30596018,"BPM",,"Thoppampatti BO","Coimbatore Division"
24,"Vedapatti BO-ABPM-OBC",30595797,"ABPM",,"Vedapatti BO","Coimbatore Division"
25,"Velandipalayam SO-Daksevak-UR",30369185,"Daksevak",,"Velandipalayam SO","Coimbatore Division"
26,"Vellakinar BO-ABPM-UR",30591457,"ABPM",,"Vellakinar BO","Coimbatore Division"
27,"Vellamadai BO-ABPM-OBC",30376766,"ABPM",,"Vellamadai BO","Coimbatore Division"
28,"Vilankurichi BO-ABPM-UR",30376777,"ABPM",,"Vilankurichi BO","Coimbatore Division"
