Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Adaikkakuzhi B.O-ABPM-OBC",30154289,"ABPM",,"Adaikkakuzhi B.O","Kanniyakumari Division"
2,"Chemparuthivilai B.O-ABPM-UR",30154412,"ABPM",,"Chemparuthivilai B.O","Kanniyakumari Division"
3,"Chittar Dam Colony B.O-ABPM-UR",30157819,"ABPM",,"Chittar Dam Colony B.O","Kanniyakumari Division"
4,"Erachakulam B.O-ABPM-UR",30154462,"ABPM",,"Erachakulam B.O","Kanniyakumari Division"
5,"Ganapathipuram S.O-Daksevak-OBC",30154384,"Daksevak",,"Ganapathipuram S.O","Kanniyakumari Division"
6,"Idaikkode S.O-Daksevak-UR",30154515,"Daksevak",,"Idaikkode S.O","Kanniyakumari Division"
7,"James Town B.O-ABPM-UR",30154623,"ABPM",,"James Town B.O","Kanniyakumari Division"
8,"Kaliakkavilai S.O-Daksevak-UR",30154377,"Daksevak",,"Kaliakkavilai S.O","Kanniyakumari Division"
9,"Killiyoor B.O-BPM-UR",30154381,"BPM",,"Killiyoor B.O","Kanniyakumari Division"
10,"Kumarapuram B.O-ABPM-UR",30154433,"ABPM",,"Kumarapuram B.O","Kanniyakumari Division"
11,"Kumarapuramthoppur B.O-ABPM-UR",30154304,"ABPM",,"Kumarapuramthoppur B.O","Kanniyakumari Division"
12,"Kuzhicode B.O-ABPM-OBC",30223737,"ABPM",,"Kuzhicode B.O","Kanniyakumari Division"
13,"Madavalayam B.O-ABPM-UR",30157823,"ABPM",,"Madavalayam B.O","Kanniyakumari Division"
14,"Mahadanapuram B.O-ABPM-UR",30157840,"ABPM",,"Mahadanapuram B.O","Kanniyakumari Division"
15,"Marthandam S.O-Daksevak-OBC",30154579,"Daksevak",,"Marthandam S.O","Kanniyakumari Division"
16,"Painkulam B.O-ABPM-UR",30154613,"ABPM",,"Painkulam B.O","Kanniyakumari Division"
17,"Puthenthurai B.O-ABPM-OBC",30157855,"ABPM",,"Puthenthurai B.O","Kanniyakumari Division"
18,"Udayamarthandam S.O-Daksevak-OBC",30154438,"Daksevak",,"Udayamarthandam S.O","Kanniyakumari Division"
19,"Velimalai B.O-ABPM-OBC",30154603,"ABPM",,"Velimalai B.O","Kanniyakumari Division"
20,"Vellamadam B.O-ABPM-UR",30154303,"ABPM",,"Vellamadam B.O","Kanniyakumari Division"
