Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Adanakottai B.O-ABPM-OBC",30185510,"ABPM",,"Adanakottai B.O","Pudukkottai Division"
2,"Aharapatti B.O-ABPM-UR",30185753,"ABPM",,"Aharapatti B.O","Pudukkottai Division"
3,"Aliyanilai B.O-ABPM-OBC",30185487,"ABPM",,"Aliyanilai B.O","Pudukkottai Division"
4,"Annavasal S.O-Daksevak-OBC",30590548,"Daksevak",,"Annavasal S.O","Pudukkottai Division"
5,"Arasarkulam S.O-Daksevak-OBC",30185494,"Daksevak",,"Arasarkulam S.O","Pudukkottai Division"
6,"Chidambaraviduthi B.O-ABPM-OBC",30185562,"ABPM",,"Chidambaraviduthi B.O","Pudukkottai Division"
7,"Chockanathapatti B.O-ABPM-OBC",30185679,"ABPM",,"Chockanathapatti B.O","Pudukkottai Division"
8,"Edayathimangalam B.O-BPM-OBC",30185951,"BPM",,"Edayathimangalam B.O","Pudukkottai Division"
9,"Kanadu B.O-BPM-UR",30185727,"BPM",,"Kanadu B.O","Pudukkottai Division"
10,"Killukkottai B.O-BPM-OBC",30185748,"BPM",,"Killukkottai B.O","Pudukkottai Division"
11,"Konapet S.O-Daksevak-OBC",30185982,"Daksevak",,"Konapet S.O","Pudukkottai Division"
12,"Malaikudipatti B.O-ABPM-UR",30185630,"ABPM",,"Malaikudipatti B.O","Pudukkottai Division"
13,"Mangudi B.O-BPM-OBC",30185953,"BPM",,"Mangudi B.O","Pudukkottai Division"
14,"Melathaniyam B.O-ABPM-UR",30625580,"ABPM",,"Melathaniyam B.O","Pudukkottai Division"
15,"Meppoodakudi B.O-BPM-UR",30185566,"BPM",,"Meppoodakudi B.O","Pudukkottai Division"
16,"Mullaiyur B.O-ABPM-OBC",30622987,"ABPM",,"Mullaiyur B.O","Pudukkottai Division"
17,"Nagarapatti B.O-ABPM-UR",30590549,"ABPM",,"Nagarapatti B.O","Pudukkottai Division"
18,"Nallur B.O-ABPM-OBC",30185624,"ABPM",,"Nallur B.O","Pudukkottai Division"
19,"N.Shanmuganathapuri B.O-ABPM-UR",30185841,"ABPM",,"N.Shanmuganathapuri B.O","Pudukkottai Division"
20,"Pillaithannirpandal S.O-Daksevak-UR",30185652,"Daksevak",,"Pillaithannirpandal S.O","Pudukkottai Division"
21,"Ponnanviduthi B.O-ABPM-UR",30185661,"ABPM",,"Ponnanviduthi B.O","Pudukkottai Division"
22,"Poruvai B.O-ABPM-UR",30186035,"ABPM",,"Poruvai B.O","Pudukkottai Division"
23,"Pudukkottai H.O-Daksevak-UR",30185575,"Daksevak",,"Pudukkottai H.O","Pudukkottai Division"
24,"Rajagiri B.O-BPM-UR",30185957,"BPM",,"Rajagiri B.O","Pudukkottai Division"
25,"Themmavur B.O-ABPM-UR",30185880,"ABPM",,"Themmavur B.O","Pudukkottai Division"
26,"Thiruppunavasal B.O-ABPM-UR",30185790,"ABPM",,"Thiruppunavasal B.O","Pudukkottai Division"
27,"Thiyathur B.O-ABPM-UR",30715520,"ABPM",,"Thiyathur B.O","Pudukkottai Division"
28,"Tirumayam S.O-Daksevak-UR",30715578,"Daksevak",,"Tirumayam S.O","Pudukkottai Division"
29,"Tirupperunthurai S.O-Daksevak-UR",30640748,"Daksevak",,"Tirupperunthurai S.O","Pudukkottai Division"
30,"Tirupperunthurai S.O-Daksevak-UR",30186031,"Daksevak",,"Tirupperunthurai S.O","Pudukkottai Division"
31,"Varappur B.O-ABPM-UR",30715516,"ABPM",,"Varappur B.O","Pudukkottai Division"
32,"Vembanpatti B.O-ABPM-UR",30185708,"ABPM",,"Vembanpatti B.O","Pudukkottai Division"
33,"Viralur B.O-ABPM-OBC",30185818,"ABPM",,"Viralur B.O","Pudukkottai Division"
