Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Adangudi B.O-BPM-UR",30166145,"BPM",,"Adangudi B.O","Thanjavur Division"
2,"Agaramangudi B.O-BPM-UR",30176051,"BPM",,"Agaramangudi B.O","Thanjavur Division"
3,"Ammapet S.O-Daksevak-OBC",30165908,"Daksevak",,"Ammapet S.O","Thanjavur Division"
4,"Chettichatram B.O-ABPM-UR",30175790,"ABPM",,"Chettichatram B.O","Thanjavur Division"
5,"Devangudi B.O-ABPM-UR",30176033,"ABPM",,"Devangudi B.O","Thanjavur Division"
6,"Inayathukkanpatti B.O-ABPM-UR",30175714,"ABPM",,"Inayathukkanpatti B.O","Thanjavur Division"
7,"Kalathur B.O-ABPM-UR",30175740,"ABPM",,"Kalathur B.O","Thanjavur Division"
8,"Kaniyakurichi B.O-ABPM-UR",30225534,"ABPM",,"Kaniyakurichi B.O","Thanjavur Division"
9,"Kattakudi B.O-ABPM-OBC",30166073,"ABPM",,"Kattakudi B.O","Thanjavur Division"
10,"Kavalur B.O-BPM-OBC",30165954,"BPM",,"Kavalur B.O","Thanjavur Division"
11,"Kiliyur B.O-ABPM-UR",30165959,"ABPM",,"Kiliyur B.O","Thanjavur Division"
12,"Kokkeri S.O-Daksevak-OBC",30176049,"Daksevak",,"Kokkeri S.O","Thanjavur Division"
13,"Kudithangicheri B.O-ABPM-UR",30175949,"ABPM",,"Kudithangicheri B.O","Thanjavur Division"
14,"Kulamangalam B.O-ABPM-UR",30225544,"ABPM",,"Kulamangalam B.O","Thanjavur Division"
15,"Kunniyur B.O-ABPM-UR",30175936,"ABPM",,"Kunniyur B.O","Thanjavur Division"
16,"Manjanavadi B.O-BPM-UR",30176023,"BPM",,"Manjanavadi B.O","Thanjavur Division"
17,"Melakalakudi B.O-ABPM-UR",30175572,"ABPM",,"Melakalakudi B.O","Thanjavur Division"
18,"Melanemmeli B.O-ABPM-UR",30175967,"ABPM",,"Melanemmeli B.O","Thanjavur Division"
19,"Neduvakottai B.O-BPM-UR",30175857,"BPM",,"Neduvakottai B.O","Thanjavur Division"
20,"Palayakottai B.O-ABPM-UR",30165969,"ABPM",,"Palayakottai B.O","Thanjavur Division"
21,"Peraiyur B.O-ABPM-OBC",30175919,"ABPM",,"Peraiyur B.O","Thanjavur Division"
22,"Periyakuruvadi B.O-BPM-UR",30176030,"BPM",,"Periyakuruvadi B.O","Thanjavur Division"
23,"Puduchatram B.O-BPM-UR",30175597,"BPM",,"Puduchatram B.O","Thanjavur Division"
24,"Rajappayyanchavadi B.O-ABPM-UR",30175903,"ABPM",,"Rajappayyanchavadi B.O","Thanjavur Division"
25,"Sendamangalam TTP B.O-ABPM-OBC",30175888,"ABPM",,"Sendamangalam TTP B.O","Thanjavur Division"
26,"Sundaraperumalkoil S.O-Daksevak-UR",30175787,"Daksevak",,"Sundaraperumalkoil S.O","Thanjavur Division"
27,"Talayamangalam MNG B.O-BPM-UR",30225206,"BPM",,"Talayamangalam MNG B.O","Thanjavur Division"
28,"Terkunanallur B.O-BPM-OBC",30176060,"BPM",,"Terkunanallur B.O","Thanjavur Division"
29,"Thiruppanthuruthi S.O-Daksevak-UR",30175643,"Daksevak",,"Thiruppanthuruthi S.O","Thanjavur Division"
30,"Thogur S.O-Daksevak-UR",30175574,"Daksevak",,"Thogur S.O","Thanjavur Division"
31,"Tiruchottuthurai B.O-ABPM-UR",30175598,"ABPM",,"Tiruchottuthurai B.O","Thanjavur Division"
32,"Tirukkarugavur S.O-Daksevak-UR",30175797,"Daksevak",,"Tirukkarugavur S.O","Thanjavur Division"
33,"Tirukoilpathu B.O-BPM-OBC",30175760,"BPM",,"Tirukoilpathu B.O","Thanjavur Division"
34,"Tirumakottai S.O-Daksevak-OBC",30166042,"Daksevak",,"Tirumakottai S.O","Thanjavur Division"
35,"Tirupalakudi B.O-ABPM-OBC",30225539,"ABPM",,"Tirupalakudi B.O","Thanjavur Division"
36,"Valappakudi B.O-ABPM-UR",30175678,"ABPM",,"Valappakudi B.O","Thanjavur Division"
37,"Vandayariruppu B.O-ABPM-UR",30175896,"ABPM",,"Vandayariruppu B.O","Thanjavur Division"
