Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Alagappapuram BO-ABPM-UR",30398744,"ABPM",,"Alagappapuram BO","Tirunelveli Division"
2,"Alagappapuram BO-BPM-OBC",30398878,"BPM",,"Alagappapuram BO","Tirunelveli Division"
3,"Attalanallur BO-BPM-UR",30398602,"BPM",,"Attalanallur BO","Tirunelveli Division"
4,"Chidambarapuram BO-ABPM-OBC",30398724,"ABPM",,"Chidambarapuram BO","Tirunelveli Division"
5,"Chidambarapuram BO-ABPM-UR",30398684,"ABPM",,"Chidambarapuram BO","Tirunelveli Division"
6,"Elankulam BO-BPM-OBC",30398716,"BPM",,"Elankulam BO","Tirunelveli Division"
7,"Elankulam BO-ABPM-OBC",30398679,"ABPM",,"Elankulam BO","Tirunelveli Division"
8,"Idaikal BO-ABPM-OBC",30398530,"ABPM",,"Idaikal BO","Tirunelveli Division"
9,"Idayankulam BO-ABPM-UR",30398673,"ABPM",,"Idayankulam BO","Tirunelveli Division"
10,"Katana Anaithittam BO-BPM-OBC",30398393,"BPM",,"Katana Anaithittam BO","Tirunelveli Division"
11,"Kodaiseri BO-ABPM-UR",30398662,"ABPM",,"Kodaiseri BO","Tirunelveli Division"
12,"Kooduthalai BO-ABPM-UR",30398792,"ABPM",,"Kooduthalai BO","Tirunelveli Division"
13,"Koottapanai BO-ABPM-OBC",30398873,"ABPM",,"Koottapanai BO","Tirunelveli Division"
14,"Kuthenkuli BO-BPM-OBC",30398702,"BPM",,"Kuthenkuli BO","Tirunelveli Division"
15,"Mudaliarpatti BO-ABPM-UR",30398540,"ABPM",,"Mudaliarpatti BO","Tirunelveli Division"
16,"Nallankulam BO-ABPM-UR",30398838,"ABPM",,"Nallankulam BO","Tirunelveli Division"
17,"Padalayarkulam BO-ABPM-OBC",30398596,"ABPM",,"Padalayarkulam BO","Tirunelveli Division"
18,"Palamadai BO-BPM-UR",30398470,"BPM",,"Palamadai BO","Tirunelveli Division"
19,"Pallikottai BO-ABPM-UR",30398589,"ABPM",,"Pallikottai BO","Tirunelveli Division"
20,"Pappankulam BO-ABPM-UR",30398749,"ABPM",,"Pappankulam BO","Tirunelveli Division"
21,"Pathai BO-ABPM-OBC",30398649,"ABPM",,"Pathai BO","Tirunelveli Division"
22,"Perungudi BO-ABPM-UR",30398849,"ABPM",,"Perungudi BO","Tirunelveli Division"
23,"Puliyurkurichi BO-BPM-OBC",30398809,"BPM",,"Puliyurkurichi BO","Tirunelveli Division"
24,"Pungampatti BO-ABPM-UR",30398455,"ABPM",,"Pungampatti BO","Tirunelveli Division"
25,"Seelathikulam BO-ABPM-UR",30398852,"ABPM",,"Seelathikulam BO","Tirunelveli Division"
26,"Seliyanallur BO-ABPM-OBC",30398630,"ABPM",,"Seliyanallur BO","Tirunelveli Division"
27,"Shenbagaramanallur BO-BPM-OBC",30398825,"BPM",,"Shenbagaramanallur BO","Tirunelveli Division"
28,"Singamparai BO-ABPM-UR",30398511,"ABPM",,"Singamparai BO","Tirunelveli Division"
29,"Suviseshapuram BO-ABPM-UR",30398796,"ABPM",,"Suviseshapuram BO","Tirunelveli Division"
30,"Terku Kallikulam SO-Daksevak-UR",30398800,"Daksevak",,"Terku Kallikulam SO","Tirunelveli Division"
31,"Terku Vijayanarayanam BO-ABPM-UR",30398738,"ABPM",,"Terku Vijayanarayanam BO","Tirunelveli Division"
32,"Therku Madathur BO-ABPM-UR",30627995,"ABPM",,"Therku Madathur BO","Tirunelveli Division"
33,"Tidiyur BO-ABPM-UR",30398715,"ABPM",,"Tidiyur BO","Tirunelveli Division"
34,"Tirumalapuram BO-ABPM-OBC",30398677,"ABPM",,"Tirumalapuram BO","Tirunelveli Division"
35,"Uralvoimozhi BO-ABPM-UR",30398862,"ABPM",,"Uralvoimozhi BO","Tirunelveli Division"
36,"Vadalivilai BO-ABPM-UR",30398818,"ABPM",,"Vadalivilai BO","Tirunelveli Division"
37,"Valliammalpuram BO-BPM-UR",30398720,"BPM",,"Valliammalpuram BO","Tirunelveli Division"
38,"Vickramasingapuram SO-Daksevak-UR",30405908,"Daksevak",,"Vickramasingapuram SO","Tirunelveli Division"
