Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Alagapuram BO-ABPM-UR",30309160,"ABPM",,"Alagapuram BO","Tiruchirappalli Division"
2,"Alambadi BO-ABPM-OBC",30643255,"ABPM",,"Alambadi BO","Tiruchirappalli Division"
3,"Aranmanaikurichi BO-BPM-UR",30308906,"BPM",,"Aranmanaikurichi BO","Tiruchirappalli Division"
4,"Ariyalur Cement Factory SO-Daksevak-UR",30308864,"Daksevak",,"Ariyalur Cement Factory SO","Tiruchirappalli Division"
5,"Ariyur BO-BPM-UR",30309077,"BPM",,"Ariyur BO","Tiruchirappalli Division"
6,"Asaveerankudikadu SO-Daksevak-UR",30689944,"Daksevak",,"Asaveerankudikadu SO","Tiruchirappalli Division"
7,"Attukurichi BO-ABPM-OBC",30624521,"ABPM",,"Attukurichi BO","Tiruchirappalli Division"
8,"Ayyappanaickenpettai BO-ABPM-UR",30309228,"ABPM",,"Ayyappanaickenpettai BO","Tiruchirappalli Division"
9,"Devanur BO-BPM-OBC",30309190,"BPM",,"Devanur BO","Tiruchirappalli Division"
10,"Edayakurichi BO-ABPM-OBC",30309267,"ABPM",,"Edayakurichi BO","Tiruchirappalli Division"
11,"Ilayaperumanallur BO-ABPM-UR",30638309,"ABPM",,"Ilayaperumanallur BO","Tiruchirappalli Division"
12,"Inampuliyur BO-ABPM-OBC",30309146,"ABPM",,"Inampuliyur BO","Tiruchirappalli Division"
13,"Industrial Colony SO-Daksevak-OBC",30308928,"Daksevak",,"Industrial Colony SO","Tiruchirappalli Division"
14,"Irumbilikurichi BO-ABPM-UR",30309240,"ABPM",,"Irumbilikurichi BO","Tiruchirappalli Division"
15,"Kallagam SO-Daksevak-UR",30653654,"Daksevak",,"Kallagam SO","Tiruchirappalli Division"
16,"Kallakudi North SO-Daksevak-OBC",30689963,"Daksevak",,"Kallakudi North SO","Tiruchirappalli Division"
17,"Kallathur Thandalai SO-Daksevak-UR",30309130,"Daksevak",,"Kallathur Thandalai SO","Tiruchirappalli Division"
18,"Kambarasampettai BO-ABPM-UR",30309135,"ABPM",,"Kambarasampettai BO","Tiruchirappalli Division"
19,"Kavanur BO-ABPM-OBC",30625179,"ABPM",,"Kavanur BO","Tiruchirappalli Division"
20,"Kilamathur BO-ABPM-UR",30308775,"ABPM",,"Kilamathur BO","Tiruchirappalli Division"
21,"Koilesanai BO-ABPM-UR",30308920,"ABPM",,"Koilesanai BO","Tiruchirappalli Division"
22,"Koothur BO-BPM-OBC",30308779,"BPM",,"Koothur BO","Tiruchirappalli Division"
23,"Kulathur BO-ABPM-UR",30309117,"ABPM",,"Kulathur BO","Tiruchirappalli Division"
24,"Kulumani SO-Daksevak-OBC",30309833,"Daksevak",,"Kulumani SO","Tiruchirappalli Division"
25,"Kumiliam BO-ABPM-UR",30309255,"ABPM",,"Kumiliam BO","Tiruchirappalli Division"
