Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Arasampatti B.O-ABPM-UR",30079591,"ABPM",,"Arasampatti B.O","Dharmapuri Division"
2,"Barur S.O-Daksevak-UR",30222603,"Daksevak",,"Barur S.O","Dharmapuri Division"
3,"Barur S.O-Daksevak-UR",30077123,"Daksevak",,"Barur S.O","Dharmapuri Division"
4,"Bendrahalli B.O-ABPM-UR",30222780,"ABPM",,"Bendrahalli B.O","Dharmapuri Division"
5,"Bettamugulalam B.O-ABPM-UR",30077248,"ABPM",,"Bettamugulalam B.O","Dharmapuri Division"
6,"Chinnankuppam B.O-ABPM-OBC",30077338,"ABPM",,"Chinnankuppam B.O","Dharmapuri Division"
7,"Dasarahalli B.O-ABPM-OBC",30613082,"ABPM",,"Dasarahalli B.O","Dharmapuri Division"
8,"Dharmapuri H.O-Daksevak-OBC",30133626,"Daksevak",,"Dharmapuri H.O","Dharmapuri Division"
9,"Dokkubothanahalli B.O-ABPM-OBC",30222628,"ABPM",,"Dokkubothanahalli B.O","Dharmapuri Division"
10,"D Thurinjipatti B.O-ABPM-UR",30077386,"ABPM",,"D Thurinjipatti B.O","Dharmapuri Division"
11,"Ellapudayampatti B.O-ABPM-OBC",30222958,"ABPM",,"Ellapudayampatti B.O","Dharmapuri Division"
12,"Errapeyanahalli B.O-ABPM-UR",30077265,"ABPM",,"Errapeyanahalli B.O","Dharmapuri Division"
13,"Erupalli B.O-ABPM-OBC",30077277,"ABPM",,"Erupalli B.O","Dharmapuri Division"
14,"Giddanahalli B.O-ABPM-UR",30077260,"ABPM",,"Giddanahalli B.O","Dharmapuri Division"
15,"Ichambadi B.O-ABPM-OBC",30077225,"ABPM",,"Ichambadi B.O","Dharmapuri Division"
16,"Kathiripatti B.O-ABPM-OBC",30077458,"ABPM",,"Kathiripatti B.O","Dharmapuri Division"
17,"Koothapadi B.O-ABPM-UR",30222643,"ABPM",,"Koothapadi B.O","Dharmapuri Division"
18,"Kottumaranahalli B.O-ABPM-UR",30079597,"ABPM",,"Kottumaranahalli B.O","Dharmapuri Division"
19,"Mittadinnahalli B.O-BPM-UR",30077115,"BPM",,"Mittadinnahalli B.O","Dharmapuri Division"
20,"Nallasenahalli B.O-ABPM-OBC",30077113,"ABPM",,"Nallasenahalli B.O","Dharmapuri Division"
21,"Palayam B.O-ABPM-OBC",30224960,"ABPM",,"Palayam B.O","Dharmapuri Division"
22,"Ramakondahalli B.O-ABPM-UR",30077235,"ABPM",,"Ramakondahalli B.O","Dharmapuri Division"
23,"RAMENAHALLI B.O-ABPM-UR",30222620,"ABPM",,"RAMENAHALLI B.O","Dharmapuri Division"
24,"Samichettipatti B.O-ABPM-UR",30077150,"ABPM",,"Samichettipatti B.O","Dharmapuri Division"
25,"Sikkalur B.O-BPM-UR",30225403,"BPM",,"Sikkalur B.O","Dharmapuri Division"
26,"Sitteri B.O-BPM-OBC",30222983,"BPM",,"Sitteri B.O","Dharmapuri Division"
27,"Solaikottai B.O-ABPM-UR",30077107,"ABPM",,"Solaikottai B.O","Dharmapuri Division"
28,"Sunnampatti B.O-BPM-OBC",30224983,"BPM",,"Sunnampatti B.O","Dharmapuri Division"
29,"Thoppur S.O-Daksevak-OBC",30640607,"Daksevak",,"Thoppur S.O","Dharmapuri Division"
30,"Thumjepalli B.O-ABPM-UR",30222652,"ABPM",,"Thumjepalli B.O","Dharmapuri Division"
31,"Tirtamalai S.O-Daksevak-UR",30079649,"Daksevak",,"Tirtamalai S.O","Dharmapuri Division"
32,"Vathalmalai B.O-ABPM-UR",30614410,"ABPM",,"Vathalmalai B.O","Dharmapuri Division"
