Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Alampalayam BO-BPM-UR",30346914,"BPM",,"Alampalayam BO","Erode Division"
2,"Arasur BO-BPM-UR",30347005,"BPM",,"Arasur BO","Erode Division"
3,"Ayyampalayam BO-ABPM-UR",30348144,"ABPM",,"Ayyampalayam BO","Erode Division"
4,"BargurAnthiyur BO-BPM-OBC",30346956,"BPM",,"BargurAnthiyur BO","Erode Division"
5,"Basuvapatti BO-ABPM-UR",30627233,"ABPM",,"Basuvapatti BO","Erode Division"
6,"Bhavani HO-Daksevak-UR",30346932,"Daksevak",,"Bhavani HO","Erode Division"
7,"Cauvery Railway Station SO-Daksevak-UR",30347194,"Daksevak",,"Cauvery Railway Station SO","Erode Division"
8,"Dalavoipettai BO-ABPM-OBC",30346999,"ABPM",,"Dalavoipettai BO","Erode Division"
9,"Dasappagoundenpudur SO-Daksevak-UR",30346881,"Daksevak",,"Dasappagoundenpudur SO","Erode Division"
10,"Elathur Chettipalayam BO-BPM-UR",30347066,"BPM",,"Elathur Chettipalayam BO","Erode Division"
11,"Elavamalai BO-BPM-UR",30347010,"BPM",,"Elavamalai BO","Erode Division"
12,"Elavamalai BO-ABPM-OBC",30347013,"ABPM",,"Elavamalai BO","Erode Division"
13,"Erangattur BO-ABPM-UR",30347080,"ABPM",,"Erangattur BO","Erode Division"
14,"Erode HO-Daksevak-OBC",30627237,"Daksevak",,"Erode HO","Erode Division"
15,"Gangapuram BO-ABPM-OBC",30627238,"ABPM",,"Gangapuram BO","Erode Division"
16,"Getticheyur SO-Daksevak-UR",30346885,"Daksevak",,"Getticheyur SO","Erode Division"
17,"Gobichettipalayam South SO-Daksevak-OBC",30346893,"Daksevak",,"Gobichettipalayam South SO","Erode Division"
18,"Injampalli BO-ABPM-UR",30348152,"ABPM",,"Injampalli BO","Erode Division"
19,"Kadappanallur BO-ABPM-OBC",30636336,"ABPM",,"Kadappanallur BO","Erode Division"
20,"Kalkadambur BO-BPM-UR",30626732,"BPM",,"Kalkadambur BO","Erode Division"
21,"Kanagapuram BO-ABPM-OBC",30347191,"ABPM",,"Kanagapuram BO","Erode Division"
22,"Kandikattuvalasu BO-ABPM-UR",30627249,"ABPM",,"Kandikattuvalasu BO","Erode Division"
23,"Kasipalayam SO Erode-Daksevak-UR",30346901,"Daksevak",,"Kasipalayam SO Erode","Erode Division"
24,"Kavuthampalayam BO-ABPM-UR",30347185,"ABPM",,"Kavuthampalayam BO","Erode Division"
25,"Kesarimangalam BO-BPM-OBC",30347050,"BPM",,"Kesarimangalam BO","Erode Division"
26,"Kesarimangalam BO-ABPM-UR",30347052,"ABPM",,"Kesarimangalam BO","Erode Division"
27,"Kodiveri BO-BPM-UR",30346877,"BPM",,"Kodiveri BO","Erode Division"
28,"Komarayanur BO-BPM-UR",30347097,"BPM",,"Komarayanur BO","Erode Division"
29,"Komarayeevalasu BO-ABPM-UR",30627529,"ABPM",,"Komarayeevalasu BO","Erode Division"
30,"Kurichikunnathur BO-ABPM-UR",30628492,"ABPM",,"Kurichikunnathur BO","Erode Division"
31,"Kuttagam BO-BPM-OBC",30346907,"BPM",,"Kuttagam BO","Erode Division"
32,"Michaelpalayam BO-ABPM-UR",30347138,"ABPM",,"Michaelpalayam BO","Erode Division"
33,"Morattupalayam BO-ABPM-OBC",30347166,"ABPM",,"Morattupalayam BO","Erode Division"
34,"Mukasi Hanumanpalli BO-ABPM-UR",30347067,"ABPM",,"Mukasi Hanumanpalli BO","Erode Division"
35,"Mylambadi BO-ABPM-UR",30347152,"ABPM",,"Mylambadi BO","Erode Division"
36,"Nallampatti BO-ABPM-OBC",30347243,"ABPM",,"Nallampatti BO","Erode Division"
37,"Nambiyur SO-Daksevak-OBC",30627657,"Daksevak",,"Nambiyur SO","Erode Division"
38,"Nanjai Uttukuli BO-ABPM-UR",30347215,"ABPM",,"Nanjai Uttukuli BO","Erode Division"
39,"Nerinjipettai BO-ABPM-UR",30347241,"ABPM",,"Nerinjipettai BO","Erode Division"
40,"Nichampalayam BO-BPM-OBC",30346943,"BPM",,"Nichampalayam BO","Erode Division"
41,"Odayagoundenpalayam BO-ABPM-OBC",30346950,"ABPM",,"Odayagoundenpalayam BO","Erode Division"
42,"Pallapalayam BO-ABPM-UR",30347300,"ABPM",,"Pallapalayam BO","Erode Division"
43,"Paruvachi BO-ABPM-UR",30347286,"ABPM",,"Paruvachi BO","Erode Division"
44,"Pattampalayam BO-BPM-UR",30346970,"BPM",,"Pattampalayam BO","Erode Division"
45,"Peria Semur BO-ABPM-UR",30347077,"ABPM",,"Peria Semur BO","Erode Division"
46,"Pethampalayam BO-ABPM-OBC",30347309,"ABPM",,"Pethampalayam BO","Erode Division"
47,"Pondilingapuram BO-ABPM-OBC",30347220,"ABPM",,"Pondilingapuram BO","Erode Division"
48,"Pudur BO-ABPM-OBC",30347365,"ABPM",,"Pudur BO","Erode Division"
49,"Ramalingapuram BO-ABPM-UR",30347271,"ABPM",,"Ramalingapuram BO","Erode Division"
50,"Ramanathapuram Pudur BO-ABPM-OBC",30347293,"ABPM",,"Ramanathapuram Pudur BO","Erode Division"
51,"Sanyasipatti BO-ABPM-UR",30347173,"ABPM",,"Sanyasipatti BO","Erode Division"
52,"Singampettai BO-BPM-UR",30347164,"BPM",,"Singampettai BO","Erode Division"
53,"Sinthagoundenpalayam BO-ABPM-UR",30347094,"ABPM",,"Sinthagoundenpalayam BO","Erode Division"
54,"Sivagiri SO Erode-Daksevak-UR",30348166,"Daksevak",,"Sivagiri SO Erode","Erode Division"
55,"Sokkanur BO-ABPM-UR",30627667,"ABPM",,"Sokkanur BO","Erode Division"
56,"Surampatti SO-Daksevak-UR",30347196,"Daksevak",,"Surampatti SO","Erode Division"
57,"Thindal SO-Daksevak-OBC",30346995,"Daksevak",,"Thindal SO","Erode Division"
58,"Thirumalaigoundenpalayam BO-BPM-UR",30347312,"BPM",,"Thirumalaigoundenpalayam BO","Erode Division"
59,"Thoppupalayam SO-Daksevak-UR",30348153,"Daksevak",,"Thoppupalayam SO","Erode Division"
60,"Thottipalayam BO-ABPM-UR",30347044,"ABPM",,"Thottipalayam BO","Erode Division"
61,"Thuyyampundurai BO-ABPM-UR",30347149,"ABPM",,"Thuyyampundurai BO","Erode Division"
62,"Umareddiyur BO-BPM-OBC",30347022,"BPM",,"Umareddiyur BO","Erode Division"
63,"Velampalayam BO-ABPM-UR",30348146,"ABPM",,"Velampalayam BO","Erode Division"
