Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Alangudi B.O-ABPM-OBC",30137533,"ABPM",,"Alangudi B.O","Kumbakonam Division"
2,"Anaikudi B.O-ABPM-UR",30137448,"ABPM",,"Anaikudi B.O","Kumbakonam Division"
3,"Anniyur B.O-BPM-UR",30137244,"BPM",,"Anniyur B.O","Kumbakonam Division"
4,"Asoor B.O-ABPM-UR",30137275,"ABPM",,"Asoor B.O","Kumbakonam Division"
5,"Atthiyur B.O-ABPM-UR",30226041,"ABPM",,"Atthiyur B.O","Kumbakonam Division"
6,"Ayyavadi B.O-BPM-UR",30225289,"BPM",,"Ayyavadi B.O","Kumbakonam Division"
7,"Gangadarapuram B.O-ABPM-UR",30137270,"ABPM",,"Gangadarapuram B.O","Kumbakonam Division"
8,"Ilaiyur B.O-BPM-OBC",30137504,"BPM",,"Ilaiyur B.O","Kumbakonam Division"
9,"Kamakshipuram B.O-ABPM-OBC",30137368,"ABPM",,"Kamakshipuram B.O","Kumbakonam Division"
10,"Kanjivoy B.O-ABPM-OBC",30137359,"ABPM",,"Kanjivoy B.O","Kumbakonam Division"
11,"Kovilacherri B.O-ABPM-UR",30137477,"ABPM",,"Kovilacherri B.O","Kumbakonam Division"
12,"Kuttalam S.O-Daksevak-UR",30226062,"Daksevak",,"Kuttalam S.O","Kumbakonam Division"
13,"Maharajapuram B.O-ABPM-UR",30137478,"ABPM",,"Maharajapuram B.O","Kumbakonam Division"
14,"Mallapuram B.O-ABPM-UR",30137514,"ABPM",,"Mallapuram B.O","Kumbakonam Division"
15,"Mallapuram B.O-BPM-OBC",30137248,"BPM",,"Mallapuram B.O","Kumbakonam Division"
16,"Marudanallur B.O-ABPM-UR",30137487,"ABPM",,"Marudanallur B.O","Kumbakonam Division"
17,"Mattiyur B.O-ABPM-UR",30137427,"ABPM",,"Mattiyur B.O","Kumbakonam Division"
18,"Nirathanallur B.O-BPM-OBC",30226089,"BPM",,"Nirathanallur B.O","Kumbakonam Division"
19,"Pakkamparuthiyur B.O-ABPM-UR",30137463,"ABPM",,"Pakkamparuthiyur B.O","Kumbakonam Division"
20,"Palakudi B.O-ABPM-UR",30137534,"ABPM",,"Palakudi B.O","Kumbakonam Division"
21,"Perumpannaiyur B.O-ABPM-OBC",30137507,"ABPM",,"Perumpannaiyur B.O","Kumbakonam Division"
22,"Sembangudi S.O-Daksevak-UR",30137405,"Daksevak",,"Sembangudi S.O","Kumbakonam Division"
23,"Semmangudi B.O-ABPM-UR",30137488,"ABPM",,"Semmangudi B.O","Kumbakonam Division"
24,"Senganur B.O-BPM-OBC",30137464,"BPM",,"Senganur B.O","Kumbakonam Division"
25,"Swamimalai S.O-Daksevak-OBC",30137375,"Daksevak",,"Swamimalai S.O","Kumbakonam Division"
26,"Tirumananjeri B.O-ABPM-UR",30226119,"ABPM",,"Tirumananjeri B.O","Kumbakonam Division"
27,"Tirumangalam B.O-ABPM-OBC",30137317,"ABPM",,"Tirumangalam B.O","Kumbakonam Division"
28,"Tiruvalangadu S.O-Daksevak-UR",30137499,"Daksevak",,"Tiruvalangadu S.O","Kumbakonam Division"
29,"Vayalur B.O-BPM-OBC",30137526,"BPM",,"Vayalur B.O","Kumbakonam Division"
30,"Vilagam B.O-BPM-UR",30137494,"BPM",,"Vilagam B.O","Kumbakonam Division"
