Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Appanallur B.O-BPM-UR",30211143,"BPM",,"Appanallur B.O","Srirangam Division"
2,"Bommanapadi B.O-ABPM-UR",30211400,"ABPM",,"Bommanapadi B.O","Srirangam Division"
3,"Elambalur B.O-ABPM-OBC",30717329,"ABPM",,"Elambalur B.O","Srirangam Division"
4,"EVR Nagar S.O-Daksevak-UR",30212370,"Daksevak",,"EVR Nagar S.O","Srirangam Division"
5,"Garudamangalam B.O-BPM-OBC",30211209,"BPM",,"Garudamangalam B.O","Srirangam Division"
6,"Karianur B.O-ABPM-UR",30211552,"ABPM",,"Karianur B.O","Srirangam Division"
7,"Koppampatti B.O-ABPM-UR",30639103,"ABPM",,"Koppampatti B.O","Srirangam Division"
8,"Krishnapuram B.O-ABPM-UR",30211482,"ABPM",,"Krishnapuram B.O","Srirangam Division"
9,"Murukkur B.O-ABPM-OBC",30211147,"ABPM",,"Murukkur B.O","Srirangam Division"
10,"Nettavelampatti B.O-ABPM-OBC",30210991,"ABPM",,"Nettavelampatti B.O","Srirangam Division"
11,"Oddampatti B.O-ABPM-UR",30211115,"ABPM",,"Oddampatti B.O","Srirangam Division"
12,"Peramangalam B.O-ABPM-OBC",30211185,"ABPM",,"Peramangalam B.O","Srirangam Division"
13,"Periyamangalam B.O-ABPM-UR",30211097,"ABPM",,"Periyamangalam B.O","Srirangam Division"
14,"Puduvettakudi B.O-ABPM-UR",30211198,"ABPM",,"Puduvettakudi B.O","Srirangam Division"
15,"Ranjankudi B.O-ABPM-OBC",30211131,"ABPM",,"Ranjankudi B.O","Srirangam Division"
16,"Seedevimangalam B.O-BPM-OBC",30211060,"BPM",,"Seedevimangalam B.O","Srirangam Division"
17,"Seedevimangalam B.O-ABPM-UR",30211498,"ABPM",,"Seedevimangalam B.O","Srirangam Division"
18,"Seventhipatti B.O-ABPM-UR",30211035,"ABPM",,"Seventhipatti B.O","Srirangam Division"
19,"Sikkathambur S.O-Daksevak-UR",30211366,"Daksevak",,"Sikkathambur S.O","Srirangam Division"
20,"Sirugambur S.O-Daksevak-UR",30211471,"Daksevak",,"Sirugambur S.O","Srirangam Division"
21,"Siruvachur S.O-Daksevak-OBC",30211426,"Daksevak",,"Siruvachur S.O","Srirangam Division"
22,"Sittalarai B.O-ABPM-OBC",30211487,"ABPM",,"Sittalarai B.O","Srirangam Division"
23,"Thondamandurai B.O-ABPM-UR",30211472,"ABPM",,"Thondamandurai B.O","Srirangam Division"
24,"Tirupattur B.O-ABPM-OBC",30211360,"ABPM",,"Tirupattur B.O","Srirangam Division"
25,"Tirupayar B.O-BPM-OBC",30211345,"BPM",,"Tirupayar B.O","Srirangam Division"
26,"Turaiyur H.O-Daksevak-UR",30211140,"Daksevak",,"Turaiyur H.O","Srirangam Division"
27,"Velur B.O-ABPM-UR",30211553,"ABPM",,"Velur B.O","Srirangam Division"
28,"Velur B.O-BPM-UR",30211007,"BPM",,"Velur B.O","Srirangam Division"
