Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Alagapuri B.O-ABPM-UR",30173395,"ABPM",,"Alagapuri B.O","Theni Division"
2,"Ammapatti B.O-ABPM-UR",30173316,"ABPM",,"Ammapatti B.O","Theni Division"
3,"Ariyapatti B.O-ABPM-UR",30173242,"ABPM",,"Ariyapatti B.O","Theni Division"
4,"Bodidasanpatti B.O-BPM-UR",30173276,"BPM",,"Bodidasanpatti B.O","Theni Division"
5,"Bodidasanpatti B.O-ABPM-UR",30173282,"ABPM",,"Bodidasanpatti B.O","Theni Division"
6,"Bodinayakanur H.O-Daksevak-UR",30177813,"Daksevak",,"Bodinayakanur H.O","Theni Division"
7,"C.Pudupatti S.O-Daksevak-UR",30173171,"Daksevak",,"C.Pudupatti S.O","Theni Division"
8,"E.Kottapatty B.O-ABPM-UR",30173163,"ABPM",,"E.Kottapatty B.O","Theni Division"
9,"Govindanagaram B.O-ABPM-UR",30173407,"ABPM",,"Govindanagaram B.O","Theni Division"
10,"Gudalur S.O-Daksevak-UR",30173097,"Daksevak",,"Gudalur S.O","Theni Division"
11,"Jeyamangalam B.O-BPM-UR",30173139,"BPM",,"Jeyamangalam B.O","Theni Division"
12,"Kalappanpatti B.O-BPM-UR",30173203,"BPM",,"Kalappanpatti B.O","Theni Division"
13,"Kalappanpatti B.O-ABPM-UR",30173206,"ABPM",,"Kalappanpatti B.O","Theni Division"
14,"Kalluthu B.O-ABPM-UR",30173121,"ABPM",,"Kalluthu B.O","Theni Division"
15,"Kamatchipuram S.O-Daksevak-OBC",30173064,"Daksevak",,"Kamatchipuram S.O","Theni Division"
16,"Koduvilarpatti B.O-ABPM-OBC",30173324,"ABPM",,"Koduvilarpatti B.O","Theni Division"
17,"Kuduseri B.O-BPM-OBC",30173054,"BPM",,"Kuduseri B.O","Theni Division"
18,"Kullappagoundanpatti B.O-ABPM-OBC",30173157,"ABPM",,"Kullappagoundanpatti B.O","Theni Division"
19,"Lakshmipuram S.O (Theni)-Daksevak-UR",30173392,"Daksevak",,"Lakshmipuram S.O (Theni)","Theni Division"
20,"Mallapuram B.O-ABPM-UR",30173174,"ABPM",,"Mallapuram B.O","Theni Division"
21,"Melasindalachery B.O-ABPM-UR",30173087,"ABPM",,"Melasindalachery B.O","Theni Division"
22,"Melmangalam B.O-ABPM-UR",30173136,"ABPM",,"Melmangalam B.O","Theni Division"
23,"Nakkalapatti B.O-ABPM-UR",30173256,"ABPM",,"Nakkalapatti B.O","Theni Division"
24,"Rajadhani B.O-BPM-UR",30173296,"BPM",,"Rajadhani B.O","Theni Division"
25,"Rengasamudram B.O-ABPM-UR",30173343,"ABPM",,"Rengasamudram B.O","Theni Division"
26,"Sedapatti S.O-Daksevak-OBC",30173030,"Daksevak",,"Sedapatti S.O","Theni Division"
27,"Seelnayakanpatti B.O-ABPM-OBC",30173178,"ABPM",,"Seelnayakanpatti B.O","Theni Division"
28,"Seelnayakanpatti B.O-BPM-UR",30173180,"BPM",,"Seelnayakanpatti B.O","Theni Division"
29,"Thangammalpuram B.O-BPM-OBC",30173194,"BPM",,"Thangammalpuram B.O","Theni Division"
30,"Theni S.O-Daksevak-UR",30173114,"Daksevak",,"Theni S.O","Theni Division"
31,"Thevaram S.O-Daksevak-OBC",30173228,"Daksevak",,"Thevaram S.O","Theni Division"
32,"Thimmanatham B.O-BPM-OBC",30173128,"BPM",,"Thimmanatham B.O","Theni Division"
33,"Upparpatti B.O-ABPM-UR",30177809,"ABPM",,"Upparpatti B.O","Theni Division"
34,"Uthamapalayam S.O-Daksevak-UR",30173106,"Daksevak",,"Uthamapalayam S.O","Theni Division"
35,"Uthappanayakanur S.O-Daksevak-OBC",30173110,"Daksevak",,"Uthappanayakanur S.O","Theni Division"
36,"Vadugapatti B.O-ABPM-OBC",30173263,"ABPM",,"Vadugapatti B.O","Theni Division"
37,"Vaigaiproject B.O-BPM-UR",30234855,"BPM",,"Vaigaiproject B.O","Theni Division"
38,"Vandari B.O-BPM-UR",30234862,"BPM",,"Vandari B.O","Theni Division"
