Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Alagumalai BO-ABPM-OBC",30612930,"ABPM",,"Alagumalai BO","Tirupur Division"
2,"Alambadi BO-ABPM-UR",30305816,"ABPM",,"Alambadi BO","Tirupur Division"
3,"Alampalayam BO-ABPM-OBC",30647732,"ABPM",,"Alampalayam BO","Tirupur Division"
4,"Annur SO-Daksevak-OBC",30306007,"Daksevak",,"Annur SO","Tirupur Division"
5,"Athappagoundenpudur BO-ABPM-UR",30612934,"ABPM",,"Athappagoundenpudur BO","Tirupur Division"
6,"Chikkahalli BO-ABPM-OBC",30306250,"ABPM",,"Chikkahalli BO","Tirupur Division"
7,"Chinnamarudur BO-BPM-UR",30305985,"BPM",,"Chinnamarudur BO","Tirupur Division"
8,"Chinthamanipudur BO-ABPM-OBC",30306116,"ABPM",,"Chinthamanipudur BO","Tirupur Division"
9,"Doddampalayam BO-BPM-UR",30306028,"BPM",,"Doddampalayam BO","Tirupur Division"
10,"Gandhinagar SO-Daksevak-UR",30305910,"Daksevak",,"Gandhinagar SO","Tirupur Division"
11,"Gandhinagar SO-Daksevak-OBC",30613002,"Daksevak",,"Gandhinagar SO","Tirupur Division"
12,"Gandhinagar SO-Daksevak-UR",30307211,"Daksevak",,"Gandhinagar SO","Tirupur Division"
13,"Germalam BO-ABPM-UR",30307255,"ABPM",,"Germalam BO","Tirupur Division"
14,"Goldenpet BO-ABPM-OBC",30306161,"ABPM",,"Goldenpet BO","Tirupur Division"
15,"Ichipatti BO-BPM-OBC",30306348,"BPM",,"Ichipatti BO","Tirupur Division"
16,"Kalingal BO-ABPM-UR",30306324,"ABPM",,"Kalingal BO","Tirupur Division"
17,"Kalivelampatti BO-ABPM-OBC",30305929,"ABPM",,"Kalivelampatti BO","Tirupur Division"
18,"Kammalapatti BO-ABPM-UR",30612993,"ABPM",,"Kammalapatti BO","Tirupur Division"
19,"Kanuvakarai BO-ABPM-UR",30306376,"ABPM",,"Kanuvakarai BO","Tirupur Division"
20,"Karamadai SO-Daksevak-UR",30306200,"Daksevak",,"Karamadai SO","Tirupur Division"
21,"Karuppanvalasu BO-ABPM-UR",30306152,"ABPM",,"Karuppanvalasu BO","Tirupur Division"
22,"Karuvampalayam BO-BPM-OBC",30306069,"BPM",,"Karuvampalayam BO","Tirupur Division"
23,"Kattoor palladam BO-BPM-OBC",30605030,"BPM",,"Kattoor palladam BO","Tirupur Division"
24,"Kolathupalayam SO-Daksevak-UR",30305856,"Daksevak",,"Kolathupalayam SO","Tirupur Division"
25,"Kolinjivadi SO-Daksevak-OBC",30305883,"Daksevak",,"Kolinjivadi SO","Tirupur Division"
26,"Kottaimulanur BO-ABPM-UR",30612945,"ABPM",,"Kottaimulanur BO","Tirupur Division"
27,"Manakkadavu BO-ABPM-UR",30612950,"ABPM",,"Manakkadavu BO","Tirupur Division"
28,"Mangalakaraipudur BO-ABPM-UR",30612919,"ABPM",,"Mangalakaraipudur BO","Tirupur Division"
29,"Marudurai BO-ABPM-UR",30306060,"ABPM",,"Marudurai BO","Tirupur Division"
30,"Mulanur SO-Daksevak-OBC",30305994,"Daksevak",,"Mulanur SO","Tirupur Division"
31,"Muliampoondi BO-ABPM-OBC",30612953,"ABPM",,"Muliampoondi BO","Tirupur Division"
32,"Nagamanaickenpatti BO-ABPM-UR",30306149,"ABPM",,"Nagamanaickenpatti BO","Tirupur Division"
33,"Nallampalayam BO-BPM-OBC",30306185,"BPM",,"Nallampalayam BO","Tirupur Division"
34,"Nathakattuvalasu BO-ABPM-UR",30306166,"ABPM",,"Nathakattuvalasu BO","Tirupur Division"
35,"Periakallipatti BO-ABPM-UR",30306311,"ABPM",,"Periakallipatti BO","Tirupur Division"
36,"Pichakkalpatti BO-BPM-UR",30305966,"BPM",,"Pichakkalpatti BO","Tirupur Division"
37,"Pillurdam BO-BPM-UR",30306205,"BPM",,"Pillurdam BO","Tirupur Division"
38,"Pongupalayam BO-ABPM-UR",30612968,"ABPM",,"Pongupalayam BO","Tirupur Division"
39,"Rajannagar BO-ABPM-UR",30306047,"ABPM",,"Rajannagar BO","Tirupur Division"
40,"Rangasamudram SO-Daksevak-UR",30621069,"Daksevak",,"Rangasamudram SO","Tirupur Division"
41,"Rangasamudram SO-Daksevak-OBC",30648003,"Daksevak",,"Rangasamudram SO","Tirupur Division"
42,"Sathyamangalam SO-Daksevak-UR",30306275,"Daksevak",,"Sathyamangalam SO","Tirupur Division"
43,"Seeliyur SO-Daksevak-OBC",30306264,"Daksevak",,"Seeliyur SO","Tirupur Division"
44,"Selampalayam BO-ABPM-UR",30305743,"ABPM",,"Selampalayam BO","Tirupur Division"
45,"Sulur SO-Daksevak-OBC",30306335,"Daksevak",,"Sulur SO","Tirupur Division"
46,"Tegnarai BO-BPM-OBC",30306284,"BPM",,"Tegnarai BO","Tirupur Division"
47,"Thayampalayam BO-BPM-UR",30306126,"BPM",,"Thayampalayam BO","Tirupur Division"
48,"Thengumarahada BO-BPM-UR",30306017,"BPM",,"Thengumarahada BO","Tirupur Division"
49,"Thoppampalayam BO-ABPM-UR",30306014,"ABPM",,"Thoppampalayam BO","Tirupur Division"
50,"Thottiapalayam BO-BPM-UR",30612925,"BPM",,"Thottiapalayam BO","Tirupur Division"
51,"Tirupur East SO-Daksevak-UR",30307203,"Daksevak",,"Tirupur East SO","Tirupur Division"
52,"Vadugapalayam BO-ABPM-OBC",30612984,"ABPM",,"Vadugapalayam BO","Tirupur Division"
53,"Veerapandi SO-Daksevak-UR",30305989,"Daksevak",,"Veerapandi SO","Tirupur Division"
54,"Veerapandi SO-Daksevak-UR",30305971,"Daksevak",,"Veerapandi SO","Tirupur Division"
55,"Velappanaickenvalasu BO-ABPM-UR",70108077,"ABPM",,"Velappanaickenvalasu BO","Tirupur Division"
56,"Vellavavipudur BO-ABPM-OBC",30305857,"ABPM",,"Vellavavipudur BO","Tirupur Division"
57,"Vijayapuram SO-Daksevak-OBC",30612991,"Daksevak",,"Vijayapuram SO","Tirupur Division"
