Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Adikarai B.O-BPM-UR",30177217,"BPM",,"Adikarai B.O","Salem East Division"
2,"Agrahara Nattamangalam B.O-BPM-UR",30221438,"BPM",,"Agrahara Nattamangalam B.O","Salem East Division"
3,"Anaiyampatti B.O-ABPM-UR",30222923,"ABPM",,"Anaiyampatti B.O","Salem East Division"
4,"Ariyanur B.O-ABPM-UR",30177307,"ABPM",,"Ariyanur B.O","Salem East Division"
5,"Attayampatti S.O-Daksevak-UR",30177399,"Daksevak",,"Attayampatti S.O","Salem East Division"
6,"Ayodhiyapattinam S.O-Daksevak-OBC",30177309,"Daksevak",,"Ayodhiyapattinam S.O","Salem East Division"
7,"Cauvery Peak B.O-BPM-UR",30177112,"BPM",,"Cauvery Peak B.O","Salem East Division"
8,"Chendrayampalayam B.O-ABPM-OBC",30177211,"ABPM",,"Chendrayampalayam B.O","Salem East Division"
9,"Deviakurichi B.O-ABPM-UR",30176977,"ABPM",,"Deviakurichi B.O","Salem East Division"
10,"Erumapalayam B.O-BPM-OBC",30177142,"BPM",,"Erumapalayam B.O","Salem East Division"
11,"KAKKAMBADI BO-BPM-UR",30177075,"BPM",,"KAKKAMBADI BO","Salem East Division"
12,"Kalleripatti B.O-ABPM-UR",30177254,"ABPM",,"Kalleripatti B.O","Salem East Division"
13,"Kamaraj Nagar Colony S.O-Daksevak-UR",30177361,"Daksevak",,"Kamaraj Nagar Colony S.O","Salem East Division"
14,"Kondappanaickenpatti B.O-ABPM-OBC",30615134,"ABPM",,"Kondappanaickenpatti B.O","Salem East Division"
15,"Kottaichedu B.O-BPM-UR",30176968,"BPM",,"Kottaichedu B.O","Salem East Division"
16,"Kuralnatham B.O-BPM-OBC",30177224,"BPM",,"Kuralnatham B.O","Salem East Division"
17,"Malliakarai S.O-Daksevak-OBC",30177128,"Daksevak",,"Malliakarai S.O","Salem East Division"
18,"Manivilundan Colony B.O-ABPM-UR",30177009,"ABPM",,"Manivilundan Colony B.O","Salem East Division"
19,"Maniyanur B.O-BPM-UR",30177156,"BPM",,"Maniyanur B.O","Salem East Division"
20,"NAGARAMALAI ADIVARAM SO-Daksevak-UR",30177340,"Daksevak",,"NAGARAMALAI ADIVARAM SO","Salem East Division"
21,"Nirmullikuttai B.O-ABPM-UR",30177226,"ABPM",,"Nirmullikuttai B.O","Salem East Division"
22,"Odayapatti S.O-Daksevak-UR",30177088,"Daksevak",,"Odayapatti S.O","Salem East Division"
23,"Panamarathupatti S.O-Daksevak-OBC",30177194,"Daksevak",,"Panamarathupatti S.O","Salem East Division"
24,"Sarvoy B.O-ABPM-UR",30177092,"ABPM",,"Sarvoy B.O","Salem East Division"
25,"Semmanatham B.O-ABPM-OBC",30177181,"ABPM",,"Semmanatham B.O","Salem East Division"
26,"Shevapet S.O-Daksevak-UR",30177260,"Daksevak",,"Shevapet S.O","Salem East Division"
27,"Thammampatti S.O-Daksevak-OBC",30177170,"Daksevak",,"Thammampatti S.O","Salem East Division"
28,"Thammanaickenpatti B.O-BPM-OBC",30177202,"BPM",,"Thammanaickenpatti B.O","Salem East Division"
29,"Thumbal S.O-Daksevak-UR",30177274,"Daksevak",,"Thumbal S.O","Salem East Division"
30,"Uthamasolapuram B.O-ABPM-UR",30177212,"ABPM",,"Uthamasolapuram B.O","Salem East Division"
31,"Vellaiyur B.O-ABPM-UR",30177100,"ABPM",,"Vellaiyur B.O","Salem East Division"
