Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Alachampalayam B.O-ABPM-UR",30215653,"ABPM",,"Alachampalayam B.O","Namakkal Division"
2,"Alampalayam B.O-ABPM-UR",30647719,"ABPM",,"Alampalayam B.O","Namakkal Division"
3,"Alanganatham B.O-BPM-OBC",30206127,"BPM",,"Alanganatham B.O","Namakkal Division"
4,"Aniyapuram B.O-BPM-OBC",30614062,"BPM",,"Aniyapuram B.O","Namakkal Division"
5,"Elandakuttai B.O-BPM-UR",30206455,"BPM",,"Elandakuttai B.O","Namakkal Division"
6,"Erampatti S.O-Daksevak-UR",30215644,"Daksevak",,"Erampatti S.O","Namakkal Division"
7,"Gudalur B.O-ABPM-UR",30206434,"ABPM",,"Gudalur B.O","Namakkal Division"
8,"Kanavaipatti B.O-ABPM-UR",30647707,"ABPM",,"Kanavaipatti B.O","Namakkal Division"
9,"Kapilamalai S.O-Daksevak-OBC",30215657,"Daksevak",,"Kapilamalai S.O","Namakkal Division"
10,"Kilsattambur B.O-BPM-OBC",30613598,"BPM",,"Kilsattambur B.O","Namakkal Division"
11,"Kokkalai B.O-ABPM-UR",30206677,"ABPM",,"Kokkalai B.O","Namakkal Division"
12,"Kolaram B.O-ABPM-OBC",30206209,"ABPM",,"Kolaram B.O","Namakkal Division"
13,"Komarapalayam S.O-Daksevak-OBC",30215660,"Daksevak",,"Komarapalayam S.O","Namakkal Division"
14,"Konasamudram B.O-ABPM-OBC",30613577,"ABPM",,"Konasamudram B.O","Namakkal Division"
15,"Konasamudram B.O-BPM-OBC",30613576,"BPM",,"Konasamudram B.O","Namakkal Division"
16,"Kondamanaickenpatti B.O-ABPM-UR",30206307,"ABPM",,"Kondamanaickenpatti B.O","Namakkal Division"
17,"Konganapuram S.O-Daksevak-UR",30215661,"Daksevak",,"Konganapuram S.O","Namakkal Division"
18,"Konnaiyar B.O-BPM-UR",30206265,"BPM",,"Konnaiyar B.O","Namakkal Division"
19,"Kumaramangalam S.O-Daksevak-UR",30215670,"Daksevak",,"Kumaramangalam S.O","Namakkal Division"
20,"Kumaramangalam S.O-Daksevak-OBC",30206396,"Daksevak",,"Kumaramangalam S.O","Namakkal Division"
21,"K.Vadugapatti B.O-BPM-UR",30206366,"BPM",,"K.Vadugapatti B.O","Namakkal Division"
22,"Malaveppankuttai B.O-ABPM-UR",30206199,"ABPM",,"Malaveppankuttai B.O","Namakkal Division"
23,"Mavelipalayam B.O-ABPM-UR",30206610,"ABPM",,"Mavelipalayam B.O","Namakkal Division"
24,"Mavureddippatti B.O-ABPM-UR",30206576,"ABPM",,"Mavureddippatti B.O","Namakkal Division"
25,"Melsathambur B.O-BPM-UR",30206447,"BPM",,"Melsathambur B.O","Namakkal Division"
26,"Mudalaipatti B.O-BPM-OBC",30613504,"BPM",,"Mudalaipatti B.O","Namakkal Division"
27,"Muthugapatti S.O-Daksevak-OBC",30647705,"Daksevak",,"Muthugapatti S.O","Namakkal Division"
28,"Nallakumarampalayam B.O-ABPM-OBC",30206578,"ABPM",,"Nallakumarampalayam B.O","Namakkal Division"
29,"N.Seerapalli B.O-BPM-UR",30206448,"BPM",,"N.Seerapalli B.O","Namakkal Division"
30,"Pachal B.O-ABPM-OBC",30206426,"ABPM",,"Pachal B.O","Namakkal Division"
31,"Pachudayampattipudur B.O-BPM-OBC",30206539,"BPM",,"Pachudayampattipudur B.O","Namakkal Division"
32,"Pallipalayamagraharam S.O-Daksevak-OBC",30206453,"Daksevak",,"Pallipalayamagraharam S.O","Namakkal Division"
33,"Pattathiyankuttai B.O-BPM-UR",30613490,"BPM",,"Pattathiyankuttai B.O","Namakkal Division"
34,"Poolampatti S.O-Daksevak-UR",30206593,"Daksevak",,"Poolampatti S.O","Namakkal Division"
35,"Pudukottai B.O-ABPM-UR",30206143,"ABPM",,"Pudukottai B.O","Namakkal Division"
36,"Sankari West S.O-Daksevak-UR",30206622,"Daksevak",,"Sankari West S.O","Namakkal Division"
37,"Sankari West S.O-Daksevak-UR",30215691,"Daksevak",,"Sankari West S.O","Namakkal Division"
38,"Sankari West S.O-Daksevak-UR",30215690,"Daksevak",,"Sankari West S.O","Namakkal Division"
39,"Thirumangalam B.O-BPM-OBC",30206619,"BPM",,"Thirumangalam B.O","Namakkal Division"
40,"Vadavathur B.O-ABPM-UR",30206147,"ABPM",,"Vadavathur B.O","Namakkal Division"
41,"Vadugapatti B.O-ABPM-UR",30206612,"ABPM",,"Vadugapatti B.O","Namakkal Division"
42,"Vaikuntham B.O-BPM-OBC",30206439,"BPM",,"Vaikuntham B.O","Namakkal Division"
43,"Vaikuntham B.O-ABPM-UR",30206440,"ABPM",,"Vaikuntham B.O","Namakkal Division"
44,"Valayakkaranur B.O-ABPM-OBC",30613573,"ABPM",,"Valayakkaranur B.O","Namakkal Division"
45,"Valayapatti S.O Namakkal-Daksevak-UR",30206546,"Daksevak",,"Valayapatti S.O Namakkal","Namakkal Division"
46,"Varagur S.O-Daksevak-UR",30613522,"Daksevak",,"Varagur S.O","Namakkal Division"
47,"Veerachipalayam B.O-BPM-UR",30206631,"BPM",,"Veerachipalayam B.O","Namakkal Division"
48,"Vellandivalasai S.O-Daksevak-UR",30206694,"Daksevak",,"Vellandivalasai S.O","Namakkal Division"
49,"Velur (Namakkal) S.O-Daksevak-OBC",30206703,"Daksevak",,"Velur (Namakkal) S.O","Namakkal Division"
