Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Alleri B.O-ABPM-UR",30068949,"ABPM",,"Alleri B.O","Vellore Division"
2,"Edayansathu B.O-ABPM-OBC",30069154,"ABPM",,"Edayansathu B.O","Vellore Division"
3,"Elavambadi B.O-ABPM-OBC",30069165,"ABPM",,"Elavambadi B.O","Vellore Division"
4,"Karigiri B.O-ABPM-OBC",30068914,"ABPM",,"Karigiri B.O","Vellore Division"
5,"Katpadi S.O-Daksevak-UR",30068992,"Daksevak",,"Katpadi S.O","Vellore Division"
6,"Konavattam S.O-Daksevak-UR",30068994,"Daksevak",,"Konavattam S.O","Vellore Division"
7,"Kovilandur B.O-ABPM-OBC",30221505,"ABPM",,"Kovilandur B.O","Vellore Division"
8,"Melarasambattu B.O-ABPM-UR",30221520,"ABPM",,"Melarasambattu B.O","Vellore Division"
9,"Nadanur B.O-BPM-OBC",30069155,"BPM",,"Nadanur B.O","Vellore Division"
10,"Nadanur B.O-ABPM-UR",30069061,"ABPM",,"Nadanur B.O","Vellore Division"
11,"Periapudur B.O-ABPM-UR",30069127,"ABPM",,"Periapudur B.O","Vellore Division"
12,"Sekkanur B.O-BPM-UR",30069134,"BPM",,"Sekkanur B.O","Vellore Division"
13,"Sembedu B.O-ABPM-OBC",30129238,"ABPM",,"Sembedu B.O","Vellore Division"
14,"Tellai B.O-ABPM-OBC",30069006,"ABPM",,"Tellai B.O","Vellore Division"
15,"Thongumalai B.O-BPM-UR",30069044,"BPM",,"Thongumalai B.O","Vellore Division"
16,"Ussoor S.O-Daksevak-OBC",30068980,"Daksevak",,"Ussoor S.O","Vellore Division"
17,"Vaduganthangal S.O-Daksevak-UR",30069132,"Daksevak",,"Vaduganthangal S.O","Vellore Division"
18,"Vellore Institute Of Technology S.O-Daksevak-UR",30068987,"Daksevak",,"Vellore Institute Of Technology S.O","Vellore Division"
19,"Veppambattu B.O-BPM-UR",30068933,"BPM",,"Veppambattu B.O","Vellore Division"
